Date,Price_cnt_kWh
2021-11-29 00:00:00,18.17
2021-11-29 01:00:00,19
2021-11-29 02:00:00,18.51
2021-11-29 03:00:00,17.28
2021-11-29 04:00:00,16.83
2021-11-29 05:00:00,17.65
2021-11-29 06:00:00,19.21
2021-11-29 07:00:00,27.05
2021-11-29 08:00:00,36.18
2021-11-29 09:00:00,41.35
2021-11-29 10:00:00,39.98
2021-11-29 11:00:00,36.97
2021-11-29 12:00:00,37.3
2021-11-29 13:00:00,37.37
2021-11-29 14:00:00,41.11
2021-11-29 15:00:00,42.8
2021-11-29 16:00:00,43.95
2021-11-29 17:00:00,44.93
2021-11-29 18:00:00,52.61
2021-11-29 19:00:00,51.14
2021-11-29 20:00:00,44.32
2021-11-29 21:00:00,38.75
2021-11-29 22:00:00,28.69
2021-11-29 23:00:00,23.09
2021-11-30 00:00:00,16.41
2021-11-30 01:00:00,15.05
2021-11-30 02:00:00,12.75
2021-11-30 03:00:00,11.69
2021-11-30 04:00:00,9.94
2021-11-30 05:00:00,11.57
2021-11-30 06:00:00,13.05
2021-11-30 07:00:00,15.18
2021-11-30 08:00:00,26.34
2021-11-30 09:00:00,26.33
2021-11-30 10:00:00,20.12
2021-11-30 11:00:00,23.74
2021-11-30 12:00:00,22.01
2021-11-30 13:00:00,21.07
2021-11-30 14:00:00,22.62
2021-11-30 15:00:00,23.73
2021-11-30 16:00:00,31.3
2021-11-30 17:00:00,33.98
2021-11-30 18:00:00,33.04
2021-11-30 19:00:00,28.67
2021-11-30 20:00:00,29.13
2021-11-30 21:00:00,26.96
2021-11-30 22:00:00,21.61
2021-11-30 23:00:00,17.95
2021-12-01 00:00:00,15.65
2021-12-01 01:00:00,16.06
2021-12-01 02:00:00,13.56
2021-12-01 03:00:00,12.37
2021-12-01 04:00:00,11.95
2021-12-01 05:00:00,12.31
2021-12-01 06:00:00,14.48
2021-12-01 07:00:00,21.11
2021-12-01 08:00:00,22.8
2021-12-01 09:00:00,26.58
2021-12-01 10:00:00,26.22
2021-12-01 11:00:00,26.58
2021-12-01 12:00:00,26.59
2021-12-01 13:00:00,26.58
2021-12-01 14:00:00,23.73
2021-12-01 15:00:00,25.09
2021-12-01 16:00:00,26.58
2021-12-01 17:00:00,26.58
2021-12-01 18:00:00,26.58
2021-12-01 19:00:00,26.58
2021-12-01 20:00:00,26.34
2021-12-01 21:00:00,17.64
2021-12-01 22:00:00,18.89
2021-12-01 23:00:00,18.88
2021-12-02 00:00:00,12.59
2021-12-02 01:00:00,12.59
2021-12-02 02:00:00,17.64
2021-12-02 03:00:00,13.92
2021-12-02 04:00:00,17.65
2021-12-02 05:00:00,18.88
2021-12-02 06:00:00,19.5
2021-12-02 07:00:00,20.15
2021-12-02 08:00:00,20.59
2021-12-02 09:00:00,25.1
2021-12-02 10:00:00,25.03
2021-12-02 11:00:00,24.66
2021-12-02 12:00:00,27.74
2021-12-02 13:00:00,27.26
2021-12-02 14:00:00,28.36
2021-12-02 15:00:00,31.53
2021-12-02 16:00:00,37.19
2021-12-02 17:00:00,39.97
2021-12-02 18:00:00,43.26
2021-12-02 19:00:00,37.3
2021-12-02 20:00:00,27.45
2021-12-02 21:00:00,21.62
2021-12-02 22:00:00,19.65
2021-12-02 23:00:00,18.44
2021-12-03 00:00:00,16.05
2021-12-03 01:00:00,17.8
2021-12-03 02:00:00,15.79
2021-12-03 03:00:00,14.93
2021-12-03 04:00:00,14.1
2021-12-03 05:00:00,14.55
2021-12-03 06:00:00,17.19
2021-12-03 07:00:00,23.44
2021-12-03 08:00:00,31.91
2021-12-03 09:00:00,32.08
2021-12-03 10:00:00,32.53
2021-12-03 11:00:00,30.99
2021-12-03 12:00:00,28.81
2021-12-03 13:00:00,28.81
2021-12-03 14:00:00,28.6
2021-12-03 15:00:00,29.32
2021-12-03 16:00:00,26.21
2021-12-03 17:00:00,28.59
2021-12-03 18:00:00,23.89
2021-12-03 19:00:00,22.57
2021-12-03 20:00:00,17.65
2021-12-03 21:00:00,14.92
2021-12-03 22:00:00,14.76
2021-12-03 23:00:00,15.12
2021-12-04 00:00:00,13.5
2021-12-04 01:00:00,13.93
2021-12-04 02:00:00,13.33
2021-12-04 03:00:00,12.99
2021-12-04 04:00:00,12.48
2021-12-04 05:00:00,11.93
2021-12-04 06:00:00,13.14
2021-12-04 07:00:00,16.4
